# ----------------------------------------,,,,,"https://analytics.google.com/analytics/web/#/report/conversions-ecommerce-transaction/a203531w84011461p149197394/_u.date00=20181001&_u.date01=20181031&explorer-table.secSegmentId=analytics.medium&explorer-table.plotKeys=%5B%5D&explorer-table.rowCount=5000&explorer-table.advFilter=%5B%5B0,%22analytics.medium%22,%22PT%22,%22cpc%22,0%5D,%5B1,%22analytics.transactionRevenue%22,%22LT%22,%22100%22,0%5D%5D"
# Master View,,,,,
# Transactions,,,,,
# 20181001-20181031,,,,,
# ----------------------------------------,,,,,
,,,,,
Transaction ID,Medium,Revenue,Tax,Shipping,Quantity
4FN895399Y450381T,cpc,£50.00,£12.50,£0.00,1
4FT23550AV926470L,cpc,£50.00,£12.50,£0.00,1
4FX26743W3209592X,cpc,£50.00,£12.50,£0.00,1
4G141591UR8340113,cpc,£50.00,£0.00,£0.00,1
4JL71973EF1854712,cpc,£50.00,£0.00,£0.00,1
4JP50574U9636522B,cpc,£50.00,£12.50,£0.00,1
4KK880331N844115L,cpc,£50.00,£12.50,£0.00,1
4KM57822288808116,cpc,£50.00,£12.50,£0.00,1
4KP35652HX202381R,cpc,£50.00,£0.00,£0.00,1
4LU80499YD527070F,cpc,£50.00,£12.50,£0.00,1
4MJ51015HU1094308,cpc,£50.00,£12.50,£0.00,1
4MS22799J2338601U,cpc,£50.00,£12.50,£0.00,1
4NG26214UV1879025,cpc,£50.00,£12.50,£0.00,1
4NH01186H26226607,cpc,£50.00,£12.50,£0.00,1
4NK1045956064833A,cpc,£50.00,£0.00,£0.00,1
4NU62344HV830753R,cpc,£50.00,£12.50,£0.00,1
4RU139742M877410M,cpc,£50.00,£12.50,£0.00,1
4SE359833P1813847,cpc,£50.00,£12.50,£0.00,1
4T362152UA056654L,cpc,£50.00,£12.50,£0.00,1
4T790870UN657502L,cpc,£50.00,£12.50,£0.00,1
4TM14991SD770784A,cpc,£50.00,£12.50,£0.00,1
4U3603812U7219339,cpc,£50.00,£12.50,£0.00,1
4VM28278PG5019054,cpc,£50.00,£12.50,£0.00,1
4VM864013L211424V,cpc,£50.00,£0.00,£0.00,1
4VP22409DN862951G,cpc,£50.00,£12.50,£0.00,1
4X564977178516627,cpc,£50.00,£12.50,£0.00,1
4Y120222F7224354F,cpc,£50.00,£12.50,£0.00,1
4YG524987P635503T,cpc,£50.00,£0.00,£0.00,1
4YH756587C391890P,cpc,£50.00,£12.50,£0.00,1
4YT3890109595121M,cpc,£50.00,£12.50,£0.00,1
50378166T8460662W,cpc,£50.00,£12.50,£0.00,1
50B19058PF9349443,cpc,£50.00,£12.50,£0.00,1
51L51784J3382672L,cpc,£50.00,£12.50,£0.00,1
52D317989A2169143,cpc,£50.00,£12.50,£0.00,1
52R74445JJ059840G,cpc,£50.00,£12.50,£0.00,1
533427513V1292600,cpc,£50.00,£12.50,£0.00,1
53B43214PK5326217,cpc,£50.00,£12.50,£0.00,1
54996737HW020064D,cpc,£50.00,£12.50,£0.00,1
55V38680YF2341149,cpc,£50.00,£12.50,£0.00,1
57A74019059183329,cpc,£50.00,£12.50,£0.00,1
57L230543J166660R,cpc,£50.00,£0.00,£0.00,1
5.84098E+16,cpc,£50.00,£0.00,£0.00,1
58F02382KU402893M,cpc,£50.00,£12.50,£0.00,1
59840924AR906804H,cpc,£50.00,£12.50,£0.00,1
599291386H757233V,cpc,£50.00,£0.00,£0.00,1
59G49866LF479794C,cpc,£50.00,£12.50,£0.00,1
59P92628JY768234M,cpc,£50.00,£12.50,£0.00,1
5A072677PJ075851F,cpc,£50.00,£0.00,£0.00,1
5A670187LE4260221,cpc,£50.00,£12.50,£0.00,1
5AH47842ER083083K,cpc,£50.00,£12.50,£0.00,1
5BV52535G0102545P,cpc,£50.00,£12.50,£0.00,1
5BY21508KL144301P,cpc,£50.00,£0.00,£0.00,1
5CK80598AM4635136,cpc,£50.00,£0.00,£0.00,1
